D_loss,G_loss
0.02552,5.837
0.02478,5.788
0.04982,5.854
0.01518,5.826
0.03894,5.755
0.02275,5.899
0.04844,5.743
0.03235,5.937
0.02594,5.716
0.06859,5.927
0.02656,5.941
0.04814,5.85
0.04497,5.888
0.03662,5.831
0.0326,5.734
0.04699,5.603
0.02887,5.708
0.02932,5.78
0.04281,5.661
0.0239,5.949
0.02163,5.683
0.03627,5.823
0.02079,6.038
0.0448,6.08
0.02022,6.094
0.02205,6.154
0.02619,6.016
0.0322,5.916
0.01542,6.155
0.02897,5.882
0.02721,5.724
0.04013,5.866
0.02942,5.657
0.02905,5.633
0.02548,5.759
0.0207,5.805
0.02067,6.054
0.02629,6.052
0.03306,6.123
0.02332,6.169
0.01435,6.313
0.01228,6.222
0.02979,6.434
0.02244,6.278
0.0195,6.225
0.01743,6.182
0.02189,5.845
0.01835,6.092
0.01434,6.229
0.01379,5.965
0.02441,6.18
0.01172,6.269
0.02307,6.178
0.0181,6.116
0.01616,6.376
0.02708,6.281
0.02282,6.278
0.02193,6.53
0.01835,6.476
0.025,6.288
0.01636,6.318
0.02043,6.32
0.01657,6.235
0.01728,6.213
0.02039,6.422
0.02114,6.383
0.01463,6.532
0.01127,6.581
0.01221,6.655
0.02344,6.489
0.02033,6.543
0.01754,6.321
0.01459,6.449
0.01317,6.31
0.01361,6.293
0.01489,6.271
0.01714,6.296
0.01895,6.311
0.009776,6.341
0.02241,6.523
0.01565,6.483
0.01992,6.366
0.0137,6.367
0.01978,6.569
0.02601,6.721
0.01168,6.612
0.02735,6.495
0.01801,6.393
0.02366,6.308
0.02758,6.224
0.0316,6.398
0.02014,6.395
0.01922,6.438
0.03695,6.126
0.01539,6.335
0.01891,6.324
0.03506,6.58
0.02223,6.289
0.02046,6.521
0.0201,6.502
0.02331,6.511
0.01488,6.593
0.02609,6.145
0.03281,6.359
0.02221,6.253
0.03236,6.007
0.02684,6.202
0.022,5.963
0.02883,6.489
0.01738,6.62
0.02902,6.419
0.01987,6.715
0.02712,6.676
0.02454,6.879
0.01836,6.843
0.01621,6.974
0.0283,6.605
0.01912,6.715
0.02065,6.396
0.02624,6.192
0.01929,6.103
0.02713,6.346
0.02225,6.45
0.02646,6.245
0.02075,6.644
0.01936,6.742
0.02917,6.658
0.0153,7.154
0.01469,7.019
0.01269,6.967
0.02248,6.873
0.0161,7.058
0.01755,6.933
0.02182,6.774
0.01201,6.81
0.01839,6.88
0.01691,6.782
0.01945,6.635
0.01591,6.561
0.03128,6.591
0.02081,6.8
0.0225,7.124
0.02188,7.097
0.01259,7.149
0.01452,7.423
0.0179,7.142
0.01415,7.246
0.01785,7.028
0.01274,6.984
0.02207,6.983
0.01888,6.914
0.02136,6.935
0.0186,6.774
0.01939,7.094
0.02396,6.863
0.02458,6.981
0.01886,7.145
0.01995,7.385
0.02273,7.05
0.01929,7.159
0.0163,6.885
0.02212,6.77
0.019,6.724
0.01796,6.605
0.018,6.695
0.02631,6.636
0.01691,6.714
0.0222,6.658
0.02063,6.977
0.02059,7.052
0.01934,6.908
0.01382,6.711
0.01756,6.996
0.02849,6.777
0.01843,6.585
0.02055,6.647
0.02124,6.697
0.02484,6.742
0.01602,7.064
0.01516,6.863
0.01862,6.627
0.01442,6.738
0.01613,6.999
0.01755,6.807
0.01599,7.056
0.01148,7.075
0.01209,6.977
0.01043,6.873
0.01232,7.25
0.0161,7.088
0.01342,7.254
0.03123,7.421
0.01597,6.979
0.0153,7.385
0.01635,7.349
0.02249,7.182
0.02193,7.372
0.02389,7.289
0.016,7.503
0.01582,7.265
0.01484,7.149
0.02572,7.123
0.01751,7.079
0.02157,7.166
0.02178,7.373
0.02883,7.428
0.02234,7.337
0.01962,7.159
0.01521,7.459
0.01124,6.946
0.01649,7.128
0.03172,7.243
0.01557,7.153
0.0239,7.367
0.01759,7.301
0.03722,7.073
0.0299,7.575
0.01096,7.472
0.01234,7.772
0.007403,7.639
0.006248,8.199
0.01156,7.956
0.009442,7.645
0.008255,7.775
0.012,7.649
0.02031,7.572
0.01135,7.679
0.01063,7.743
0.009116,7.626
0.006667,7.676
0.01611,7.511
0.01531,8.171
0.01072,8.213
0.005388,8.537
0.006095,8.456
0.007759,8.901
0.009188,8.427
0.0181,8.289
0.006746,8.393
0.01324,7.842
0.005535,7.754
0.007973,7.261
0.009328,7.38
0.01591,6.989
0.009799,7.354
0.03005,7.55
0.009175,7.825
0.01528,7.973
0.009576,7.948
0.006184,8.314
0.007402,8.167
0.0152,8.089
0.004757,8.273
0.01801,7.88
0.008733,8.036
0.01897,7.446
0.01205,7.409
0.008171,7.65
0.007847,7.385
0.00965,7.42
0.01529,7.483
0.005579,8.426
0.007396,8.329
0.009465,8.59
0.01014,8.839
0.008529,9.056
0.01763,8.949
0.008536,8.646
0.01114,8.531
0.006746,8.399
0.0122,8.251
0.01385,8.064
0.01441,8.177
0.01275,8.136
0.006336,7.899
0.008534,8.173
0.01209,8.79
0.0188,8.927
0.02548,9.285
0.007987,9.342
0.009013,9.456
0.007059,9.585
0.02767,9.306
0.01175,8.739
0.01291,8.871
0.0192,8.548
0.02338,8.536
0.008979,8.618
0.01553,7.697
0.02587,8.03
0.01815,7.813
0.02686,8.64
0.025,8.881
0.02037,8.779
0.009502,8.895
0.02206,9.203
0.01393,9.065
0.02136,8.604
0.03215,9.114
0.01433,8.824
0.01225,9.054
0.01116,9.081
0.01028,8.85
0.01928,9.074
